DAIRA,COMMUNE,FORET,LONGITUDE,LATITUDE,DATE_DECL,HEURE_DECL,DATE_INT,HEURE_INT,DATE_EXT,HEURE_EXT,ESSENCE,TOT_FORET,TOT_MAQUIS,TOT_BROUSSAILLES,SURF_TOTAL,CAUSE,SIGNALE,ORGANISMES,DEGATS,DECL_YEAR,DECL_MONTH,DECL_DAY,INT_YEAR,INT_MONTH,INT_DAY,EXT_YEAR,EXT_MONTH,EXT_DAY,DECL_HOUR,INT_HOUR,EXT_HOUR,METEO_TEMP,METEO_VENTE_VITESSE,METEO_VENTE_DIRECTION,LOCATION_NAME
HAMMAM DEBAGH,ROKNIA,DJ DEBAGH,,,2010-07-02 00:00:00,1899-12-31 10:20:00,2010-07-02 00:00:00,1899-12-31 10:20:00,2010-07-02 00:00:00,1899-12-31 15:00:00,MAQ,0,2,0,2,INC,PV,SF+PC+DW,400000,2010,7,2,2010,7,2,2010,7,2,10,10,15,26.07,5.4,S+NE,
GUELAAT BOU SBAA,BENI MEZLINE,KEF AMAR,,,2010-07-09 00:00:00,1899-12-31 11:10:00,2010-07-09 00:00:00,1899-12-31 11:10:00,2010-07-09 00:00:00,1899-12-31 15:00:00,MAQ,0,1,0,1,INC,PV,SF+PC+DW,200000,2010,7,9,2010,7,9,2010,7,9,11,11,15,26.5,6.01,NE+S,
HAMMAM N'BAIL,OUED CHEHAM,SAFIET AOUAYED,,,2010-07-12 00:00:00,1899-12-31 16:25:00,2010-07-12 00:00:00,1899-12-31 16:25:00,2010-07-12 00:00:00,1899-12-31 17:05:00,BRS,0,0,0.5,0.5,INC,BM,SF,50000,2010,7,12,2010,7,12,2010,7,12,16,16,17,28.6,6.06,S+N,
HAMMAM N'BAIL,OUED CHEHAM,OUED GHANEM,,,2010-07-13 00:00:00,1899-12-31 11:45:00,2010-07-13 00:00:00,1899-12-31 11:45:00,2010-07-13 00:00:00,1899-12-31 15:25:00,BRS,0,0,2.5,2.5,INC,BM,SF,250000,2010,7,13,2010,7,13,2010,7,13,11,11,15,28.27,5.53,N,
HELIOPOLIS,EL FEDJOUDJ,AIN TOUTA,,,2010-07-14 00:00:00,1899-12-31 12:30:00,2010-07-14 00:00:00,1899-12-31 12:30:00,2010-07-14 00:00:00,1899-12-31 15:00:00,BRS,0,0,2,2,INC,PV,SF,200000,2010,7,14,2010,7,14,2010,7,14,12,12,15,30.26,6.85,S+N,
BOUCHEGOUF,MEDJEZ SFA,AIN TAHMAMINE,,,2010-07-14 00:00:00,1899-12-31 16:30:00,2010-07-14 00:00:00,1899-12-31 16:30:00,2010-07-14 00:00:00,1899-12-31 18:05:00,BRS,0,0,2.5,2.5,INC,BM,SF,250000,2010,7,14,2010,7,14,2010,7,14,16,16,18,30.26,6.85,S+N,
GUELMA,BENDJERRAH,MAHOUNA,,,2010-07-22 00:00:00,1899-12-31 01:40:00,2010-07-22 00:00:00,1899-12-31 01:40:00,2010-07-22 00:00:00,1899-12-31 04:00:00,BRS,0,0,1,1,INC,COMMUNE,SF+PC+DW,100000,2010,7,22,2010,7,22,2010,7,22,1,1,4,32.38,8.08,S,
HAMMAM N'BAIL,OUED CHEHAM,OUED GHANEM,,,2010-07-22 00:00:00,1899-12-31 08:37:00,2010-07-22 00:00:00,1899-12-31 08:37:00,2010-07-22 00:00:00,1899-12-31 12:55:00,MAQ,0,4,0,4,INC,PV,SF+PC,800000,2010,7,22,2010,7,22,2010,7,22,8,8,12,32.38,8.08,S,
HAMMAM N'BAIL,OUED CHEHAM,OUED GHANEM,,,2010-07-22 00:00:00,1899-12-31 13:32:00,2010-07-22 00:00:00,1899-12-31 13:32:00,2010-07-22 00:00:00,1899-12-31 18:30:00,CYP,2,0,0,2,INC,PV,SF,800000,2010,7,22,2010,7,22,2010,7,22,13,13,18,32.38,8.08,S,
BOUCHEGOUF,BOUCHEGOUF,BENI SALAH,,,2010-07-23 00:00:00,1899-12-31 11:30:00,2010-07-23 00:00:00,1899-12-31 11:30:00,2010-07-23 00:00:00,1899-12-31 19:00:00,CL+MAQ,2,1,0,3,INC,BM,SF,1000000,2010,7,23,2010,7,23,2010,7,23,11,11,19,31.28,7.77,N,
HAMMAM N'BAIL,OUED CHEHAM,EL MEGFEL,,,2010-07-23 00:00:00,1899-12-31 19:30:00,2010-07-23 00:00:00,1899-12-31 19:30:00,2010-07-23 00:00:00,1899-12-31 23:15:00,BRS,0,0,0.5,0.5,INC,BM,SF,50000,2010,7,23,2010,7,23,2010,7,23,19,19,23,31.28,7.77,N,
BOUCHEGOUF,MEDJEZ SFA,AIN TAHMAMINE,,,2010-07-25 00:00:00,1899-12-31 14:00:00,2010-07-25 00:00:00,1899-12-31 14:00:00,2010-07-25 00:00:00,1899-12-31 16:30:00,BRS,0,0,1,1,INC,BM,SF+PC,100000,2010,7,25,2010,7,25,2010,7,25,14,14,16,22.61,10.71,NO,
HAMMAM N'BAIL,OUED CHEHAM,OUED GHANEM,,,2010-07-28 00:00:00,1899-12-31 13:40:00,2010-07-28 00:00:00,1899-12-31 13:40:00,2010-07-28 00:00:00,1899-12-31 15:40:00,CYP+CL+MAQ,1.5,1,0,2.5,INC,PV,SF,800000,2010,7,28,2010,7,28,2010,7,28,13,13,15,24.1,6.26,N,
HAMMAM DEBAGH,HAMMAM DEBAGH,BOUROUISNE,,,2010-07-31 00:00:00,1899-12-31 10:45:00,2010-07-31 00:00:00,1899-12-31 10:45:00,2010-07-31 00:00:00,1899-12-31 14:45:00,MAQ,0,3,0,3,INC,PV,SF+PC,600000,2010,7,31,2010,7,31,2010,7,31,10,10,14,24.62,6.2,N+NE,
HELIOPOLIS,BOUATI MAHMOUD,AIN EL BAGRAT,,,2010-08-07 00:00:00,1899-12-31 12:55:00,2010-08-07 00:00:00,1899-12-31 12:55:00,2010-08-07 00:00:00,1899-12-31 15:00:00,MAQ,0,5,0,5,INC,PV,SF+PC+DW,1000000,2010,8,7,2010,8,7,2010,8,7,12,12,15,24.03,6.34,NE+N,
GUELAAT BOU SBAA,BENI MEZLINE,KEF AMAR,,,2010-08-08 00:00:00,1899-12-31 11:35:00,2010-08-08 00:00:00,1899-12-31 11:35:00,2010-08-08 00:00:00,1899-12-31 16:00:00,MAQ,0,0.25,0,0.25,INC,PV,SF+PC,50000,2010,8,8,2010,8,8,2010,8,8,11,11,16,24.28,5.61,N,
HAMMAM N'BAIL,DAHOUARA,OUED GHANEM,,,2010-08-10 00:00:00,1899-12-31 11:30:00,2010-08-10 00:00:00,1899-12-31 11:30:00,2010-08-10 00:00:00,1899-12-31 16:21:00,BRS,0,0,0.5,0.5,INC,PV,SF,50000,2010,8,10,2010,8,10,2010,8,10,11,11,16,27.72,7.33,N+S,
BOUCHEGOUF,BOUCHEGOUF,BENI SALAH,,,2010-08-10 00:00:00,1899-12-31 12:00:00,2010-08-10 00:00:00,1899-12-31 12:00:00,2010-08-10 00:00:00,1899-12-31 15:30:00,CL,1,0,0,1,INC,CT,SF,400000,2010,8,10,2010,8,10,2010,8,10,12,12,15,27.72,7.33,N+S,
HAMMAM N'BAIL,HAMMAM N'BAILS,SFAHLI,,,2010-08-10 00:00:00,1899-12-31 13:54:00,2010-08-10 00:00:00,1899-12-31 13:54:00,2010-08-10 00:00:00,1899-12-31 19:40:00,BRS,0,0,2,2,INC,BM,SF,200000,2010,8,10,2010,8,10,2010,8,10,13,13,19,27.72,7.33,N+S,
GUELMA,BENDJERRAH,AIN BEN ASSOUL,,,2010-08-13 00:00:00,1899-12-31 10:00:00,2010-08-13 00:00:00,1899-12-31 10:00:00,2010-08-13 00:00:00,1899-12-31 12:25:00,MAQ,0,2,0,2,INC,PV,SF+PC,400000,2010,8,13,2010,8,13,2010,8,13,10,10,12,29.35,7.52,S,
HAMMAM N'BAIL,HAMMAM N'BAILS,SFAHLI,,,2010-08-14 00:00:00,1899-12-31 10:00:00,2010-08-14 00:00:00,1899-12-31 10:00:00,2010-08-14 00:00:00,1899-12-31 11:00:00,CV,1,0,0,1,INC,BM,SF,400000,2010,8,14,2010,8,14,2010,8,14,10,10,11,26.82,7.79,N,
HAMMAM N'BAIL,HAMMAM N'BAILS,HOUZ EL HIMRE,,,2010-08-14 00:00:00,1899-12-31 11:40:00,2010-08-14 00:00:00,1899-12-31 11:40:00,2010-08-14 00:00:00,1899-12-31 12:40:00,CV,0.25,0,0,0.25,INC,BM,SF,100000,2010,8,14,2010,8,14,2010,8,14,11,11,12,26.82,7.79,N,
GUELAAT BOU SBAA,NECHMAYA,OULED BOUAZIZ,,,2010-08-20 00:00:00,1899-12-31 13:20:00,2010-08-20 00:00:00,1899-12-31 13:20:00,2010-08-20 00:00:00,1899-12-31 17:00:00,REB+MAQ,14,6,0,20,INC,PV,SF,6800000,2010,8,20,2010,8,20,2010,8,20,13,13,17,29.68,7.28,S,
