iter	Passed	Remaining
0	158	47338
1	161	24007
2	163	16202
3	166	12295
4	168	9948
5	173	8487
6	176	7368
7	178	6522
8	181	5868
9	184	5344
10	187	4921
11	190	4580
12	193	4274
13	196	4007
14	198	3775
15	201	3573
16	204	3400
17	206	3240
18	209	3097
19	212	2968
20	214	2851
21	217	2751
22	221	2666
23	224	2577
24	226	2494
25	229	2416
26	231	2345
27	236	2293
28	239	2236
29	241	2177
30	244	2121
31	246	2068
32	249	2017
33	252	1974
34	255	1931
35	257	1889
36	260	1850
37	263	1814
38	266	1781
39	270	1755
40	273	1724
41	275	1693
42	278	1665
43	281	1636
44	284	1611
45	287	1586
46	290	1564
47	293	1541
48	296	1517
49	299	1498
50	303	1482
51	306	1461
52	309	1440
53	311	1421
54	316	1409
55	319	1393
56	322	1374
57	325	1357
58	327	1339
59	332	1328
60	335	1314
61	338	1298
62	340	1282
63	343	1266
64	346	1251
65	350	1241
66	352	1227
67	355	1212
68	358	1199
69	361	1186
70	365	1177
71	368	1165
72	370	1153
73	373	1141
74	376	1129
75	380	1122
76	384	1113
77	387	1102
78	390	1091
79	392	1080
80	401	1085
81	404	1075
82	407	1064
83	409	1053
84	413	1047
85	416	1037
86	419	1027
87	422	1017
88	424	1006
89	428	999
90	432	992
91	434	982
92	437	973
93	440	964
94	443	957
95	446	949
96	449	941
97	453	934
98	456	926
99	459	919
100	462	911
101	465	903
102	468	896
103	471	889
104	475	882
105	479	876
106	482	870
107	485	863
108	488	855
109	491	849
110	494	842
111	498	836
112	501	829
113	504	822
114	507	816
115	510	809
116	512	802
117	516	796
118	519	789
119	522	784
120	526	778
121	529	772
122	532	766
123	534	759
124	537	753
125	541	748
126	544	742
127	547	735
128	550	729
129	553	724
130	557	719
131	561	714
132	563	708
133	566	701
134	570	696
135	573	691
136	576	686
137	579	680
138	582	674
139	586	669
140	589	664
141	592	659
142	596	654
143	598	648
144	602	644
145	605	638
146	609	634
147	612	629
148	615	623
149	618	618
150	622	614
151	625	609
152	628	603
153	631	598
154	635	594
155	639	589
156	642	584
157	644	579
158	647	574
159	652	571
160	656	567
161	659	561
162	662	556
163	665	551
164	669	547
165	672	542
166	675	537
167	678	532
168	681	528
169	686	524
170	689	520
171	692	515
172	695	510
173	698	506
174	702	501
175	705	497
176	708	492
177	711	487
178	715	483
179	718	478
180	721	474
181	724	469
182	727	465
183	732	461
184	735	457
185	738	452
186	741	447
187	744	443
188	749	439
189	752	435
190	755	430
191	757	426
192	761	422
193	764	417
194	767	413
195	770	408
196	773	404
197	777	400
198	780	396
199	783	391
200	786	387
201	789	382
202	794	379
203	797	375
204	801	371
205	804	366
206	807	362
207	811	358
208	814	354
209	817	350
210	820	345
211	823	341
212	827	338
213	831	333
214	833	329
215	836	325
216	839	321
217	843	317
218	846	313
219	849	309
220	852	304
221	856	300
222	860	297
223	863	293
224	866	288
225	869	284
226	872	280
227	876	276
228	879	272
229	882	268
230	885	264
231	889	260
232	892	256
233	896	252
234	899	248
235	902	244
236	912	242
237	915	238
238	918	234
239	922	230
240	925	226
241	928	222
242	931	218
243	934	214
244	938	210
245	943	207
246	946	203
247	948	198
248	951	194
249	955	191
250	958	187
251	961	183
252	964	179
253	967	175
254	971	171
255	975	167
256	978	163
257	981	159
258	984	155
259	989	152
260	992	148
261	994	144
262	997	140
263	1001	136
264	1004	132
265	1008	128
266	1011	124
267	1013	121
268	1016	117
269	1020	113
270	1023	109
271	1026	105
272	1028	101
273	1032	98
274	1036	94
275	1039	90
276	1042	86
277	1045	82
278	1049	78
279	1052	75
280	1055	71
281	1058	67
282	1060	63
283	1065	60
284	1069	56
285	1071	52
286	1074	48
287	1077	44
288	1082	41
289	1086	37
290	1089	33
291	1091	29
292	1094	26
293	1098	22
294	1102	18
295	1105	14
296	1107	11
297	1110	7
298	1115	3
299	1118	0
